Bar, Voltage
00000U, 2432
00000D, 1608
00001U, 1470
00001D, 1487
00002U, 1532
00002D, 1578
00003U, 1480
00003D, 1545
00004U, 1301
00004D, 1321
00005U, 1435
00005D, 1453
00006U, 1573
00006D, 1476
00007U, 1854
00007D, 2620
00008U, 1488
00008D, 1525
00009U, 1783
00009D, 2336
00010U, 1889
00010D, 2261
00100U, 1668
00100D, 1349
00101U, 1603
00101D, 2154
00102U, 1518
00102D, 2347
00103U, 1484
00103D, 1122
00104U, 1607
00104D, 1444
00105U, 1605
00105D, 1674
00106U, 1546
00106D, 2007
00107U, 1492
00107D, 1404
00108U, 1719
00108D, 2329
00109U, 1429
00109D, 1438
00110U, 1518
00110D, 1577
10000U, 1673
10000D, 1583
10001U, 1268
10001D, 1389
10002U, 1375
10002D, 1302
10003U, 1836
10003D, 1322
10004U, 1668
10004D, 1392
10005U, 1438
10005D, 1597
10006U, 1591
10006D, 1206
10007U, 1506
10007D, 1460
10008U, 1454
10008D, 2426
10009U, 1632
10009D, 1513
10010U, 2078
10010D, 1537
10100U, 1608
10100D, 1629
10101U, 1752
10101D, 2114
10102U, 1688
10102D, 1653
10103U, 1590
10103D, 1924
10104U, 1503
10104D, 1285
10105U, 1807
10105D, 1377
10106U, 1655
10106D, 2366
10107U, 2530
10107D, 2381
10108U, 2305
10108D, 2475
10109U, inf
10109D, inf
10110U, 1508
10110D, 1536
20000U, 1643
20000D, 1693
20001U, 1742
20001D, 2556
20002U, 1775
20002D, 2610
20003U, 2201
20003D, 1478
20004U, 1191
20004D, 1251
20005U, 1571
20005D, 2636
20006U, 2003
20006D, 1374
20007U, 1390
20007D, 2210
20008U, 1885
20008D, 2540
20009U, 1375
20009D, 1317
20010U, 1581
20010D, 2515
REFBAR00U, 258
REFBAR00D, 183
REFBAR01U, 0
REFBAR01D, 0
REFBAR02U, 0
REFBAR02D, 0
REFBAR03U, 0
REFBAR03D, 0
REFBAR04U, 0
REFBAR04D, 0
REFBAR05U, 0
REFBAR05D, 0
REFBAR06U, 0
REFBAR06D, 0
REFBAR07U, 0
REFBAR07D, 0
REFBAR08U, 0
REFBAR08D, 0
REFBAR09U, 0
REFBAR09D, 0
REFBAR10U, 0
REFBAR10D, 0
