Paddle ID,164,166,167,185
00000U,2226,2266,2186,2285
00001U,1286,1326,1246,1337
00002U,1371,1411,1331,1385
00003U,1293,1333,1253,1303
00004U,1257,1297,1217,1182
00005U,1302,1342,1262,1291
00006U,1414,1454,1374,1430
00007U,1435,1475,1395,1464
00008U,1356,1396,1316,1287
00009U,1479,1519,1439,1439
00010U,1534,1574,1494,1554
00000D,1501,1541,1461,1423
00001D,1382,1422,1342,1337
00002D,1435,1475,1395,1419
00003D,1384,1424,1344,1364
00004D,1113,1153,1073,1175
00005D,1288,1328,1248,1311
00006D,1330,1370,1290,1317
00007D,2266,2306,2226,2244
00008D,1272,1312,1232,1353
00009D,1964,2004,1924,2003
00010D,1970,2010,1930,1920
00100U,1492,1532,1452,1552
00101U,1244,1284,1204,1307
00102U,1250,1290,1210,1402
00103U,1404,1444,1364,1343
00104U,1453,1493,1413,1413
00105U,1346,1386,1306,1473
00106U,1216,1256,1176,1261
00107U,1351,1391,1311,1307
00108U,1500,1540,1460,1403
00109U,1286,1326,1246,1232
00110U,1372,1412,1332,1330
00100D,1283,1323,1243,1225
00101D,1904,1944,1864,1890
00102D,2332,2372,2292,2100
00103D,939,979,899,988
00104D,1261,1301,1221,1282
00105D,1558,1598,1518,1503
00106D,1772,1812,1732,1753
00107D,1235,1275,1195,1246
00108D,1987,2027,1947,2076
00109D,1231,1271,1191,1281
00110D,1380,1420,1340,1420
10000U,1433,1473,1393,1500
10001U,1050,1090,1010,1200
10002U,1291,1331,1251,1228
10003U,1677,1717,1637,1696
10004U,1528,1568,1488,1549
10005U,1287,1327,1247,1260
10006U,1499,1539,1459,1435
10007U,1345,1385,1305,1340
10008U,1500,1540,1460,1340
10009U,1478,1518,1438,1483
10010U,1923,1963,1883,1896
10000D,1537,1577,1497,1466
10001D,1412,1452,1372,1317
10002D,1136,1176,1096,1201
10003D,1187,1227,1147,1172
10004D,1259,1299,1219,1247
10005D,1399,1439,1359,1416
10006D,1059,1099,1019,1093
10007D,1282,1322,1242,1290
10008D,1959,1999,1919,2208
10009D,1348,1388,1308,1339
10010D,1334,1374,1294,1354
10100U,1399,1439,1359,1515
10101U,1900,1940,1860,1778
10102U,1481,1521,1441,1517
10103U,1383,1423,1343,1371
10104U,1458,1498,1418,1384
10105U,1633,1673,1593,1719
10106U,1366,1406,1326,1395
10107U,2211,2251,2171,2282
10108U,2199,2239,2159,2055
10109U,1990,2030,1950,2171
10110U,1363,1403,1323,1351
10100D,1431,1471,1391,1354
10101D,1649,1689,1609,2361
10102D,1478,1518,1438,1436
10103D,1672,1712,1632,1706
10104D,1097,1137,1057,1151
10105D,1347,1387,1307,1234
10106D,2139,2179,2099,2107
10107D,2182,2222,2142,2107
10108D,2093,2133,2053,2216
10109D,1750,1790,1710,1589
10110D,1369,1409,1329,1388
20000U,1468,1508,1428,1475
20001U,1289,1329,1249,1364
20002U,1499,1539,1459,1453
20003U,2048,2088,2008,2095
20004U,1154,1194,1114,1087
20005U,1148,1188,1108,1204
20006U,1873,1913,1833,1891
20007U,1150,1190,1110,1169
20008U,1710,1750,1670,1634
20009U,1256,1296,1216,1233
20010U,1267,1307,1227,1279
20000D,1521,1561,1481,1520
20001D,2357,2397,2317,2264
20002D,2254,2294,2214,2298
20003D,1372,1412,1332,1333
20004D,1091,1131,1051,1152
20005D,2344,2384,2304,2306
20006D,1262,1302,1222,1242
20007D,2015,2055,1975,1999
20008D,2251,2291,2211,2319
20009D,1155,1195,1115,1186
20010D,2225,2265,2185,2214
