Bar, Voltage
00000U, 2320
00000D, 1421
00001U, 1344
00001D, 1336
00002U, 1386
00002D, 1417
00003U, 1303
00003D, 1361
00004U, 1177
00004D, 1230
00005U, 1291
00005D, 1308
00006U, 1429
00006D, 1316
00007U, 1463
00007D, 2239
00008U, 1286
00008D, 1377
00009U, 1440
00009D, 2047
00010U, 1556
00010D, 1923
00100U, 1724
00100D, 1214
00101U, 1327
00101D, 1877
00102U, 1501
00102D, 1960
00103U, 1344
00103D, 1006
00104U, 1416
00104D, 1277
00105U, 1473
00105D, 1503
00106U, 1277
00106D, 1749
00107U, 1311
00107D, 1246
00108U, 1408
00108D, 2081
00109U, 1233
00109D, 1275
00110U, 1333
00110D, 1417
10000U, 1602
10000D, 1434
10001U, 1126
10001D, 1283
10002U, 1230
10002D, 1189
10003U, 1683
10003D, 1173
10004U, 1535
10004D, 1249
10005U, 1256
10005D, 1421
10006U, 1435
10006D, 1093
10007U, 1336
10007D, 1293
10008U, 1290
10008D, 2097
10009U, 1476
10009D, 1342
10010U, 1893
10010D, 1363
10100U, 1515
10100D, 1354
10101U, 1778
10101D, 2361
10102U, 1525
10102D, 1438
10103U, 1372
10103D, 1705
10104U, 1379
10104D, 1239
10105U, 1730
10105D, 1237
10106U, 1396
10106D, 2106
10107U, 2283
10107D, 2103
10108U, 2046
10108D, 2262
10109U, 2136
10109D, 1582
10110U, 1350
10110D, 1391
20000U, 1472
20000D, 1520
20001U, 1503
20001D, 2249
20002U, 1450
20002D, 2303
20003U, 2082
20003D, 1334
20004U, 1083
20004D, 1177
20005U, 1204
20005D, 2304
20006U, 1889
20006D, 1243
20007U, 1169
20007D, 1998
20008U, 1634
20008D, 2322
20009U, 1233
20009D, 1187
20010U, 1277
20010D, 2218
