Bar, Voltage
00000, 2226.21
00001, 1286.12
00002, 1371.11
00003, 1293.48
00004, 1256.55
00005, 1302.17
00006, 1414.4
00007, 1435.06
00008, 1355.8
00009, 1479
00010, 1533.6
00100, 1491.86
00101, 1244.07
00102, 592.728
00103, 1403.5
00104, 1452.64
00105, 1345.69
00106, 1215.71
00107, 1350.87
00108, 1655.83
00109, 1286.42
00110, 1372.06
10000, 1433.16
10001, 1021.6
10002, 1291.42
10003, 1677.26
10004, 1528.38
10005, 1287.46
10006, 1499.43
10007, 1344.76
10008, 1597.48
10009, 1478.44
10010, 1923.36
10100, 1398.82
10101, 2716.82
10102, 1481.49
10103, 1383.4
10104, 1457.83
10105, 1632.58
10106, 1366.21
10107, 2211.23
10108, 2198.53
10109, 1989.99
10110, 1363.09
20000, 1468.44
20001, 1289.25
20002, 1498.63
20003, 2047.98
20004, 1153.62
20005, 1148.15
20006, 1872.85
20007, 1150.42
20008, 1710.42
20009, 1255.86
20010, 1266.61
