Bar, Voltage
00000U, 2262
00000D, 1391
00001U, 1321
00001D, 1315
00002U, 1361
00002D, 1418
00003U, 1277
00003D, 1343
00004U, 1135
00004D, 1177
00005U, 1257
00005D, 1297
00006U, 1386
00006D, 1309
00007U, 1407
00007D, 2202
00008U, 1251
00008D, 1330
00009U, 1381
00009D, 1970
00010U, 1507
00010D, 1898
00100U, 1533
00100D, 1200
00101U, 1249
00101D, 1856
00102U, 1400
00102D, 1258
00103U, 1334
00103D, 982
00104U, 1411
00104D, 1262
00105U, 1430
00105D, 1458
00106U, 1224
00106D, 1732
00107U, 1298
00107D, 1228
00108U, 1377
00108D, 2054
00109U, 1214
00109D, 1259
00110U, 1320
00110D, 1405
10000U, 1501
10000D, 1331
10001U, 1135
10001D, 1222
10002U, 1241
10002D, 1170
10003U, 1660
10003D, 1154
10004U, 1536
10004D, 1254
10005U, 1219
10005D, 1397
10006U, 1420
10006D, 1093
10007U, 1315
10007D, 1276
10008U, 1247
10008D, 2141
10009U, 1443
10009D, 1347
10010U, 1840
10010D, 1353
10100U, 1416
10100D, 1404
10101U, 1499
10101D, 1939
10102U, 1491
10102D, 1457
10103U, 1356
10103D, 1677
10104U, 1348
10104D, 1158
10105U, 1691
10105D, 1231
10106U, 1404
10106D, 2080
10107U, 2240
10107D, 2040
10108U, 1993
10108D, 2165
10109U, inf
10109D, -1
10110U, 1348
10110D, 1359
20000U, 1449
20000D, 1490
20001U, 1389
20001D, 2174
20002U, 1410
20002D, 2235
20003U, 2043
20003D, 1316
20004U, 1054
20004D, 1147
20005U, 1148
20005D, 2256
20006U, 1876
20006D, 1232
20007U, 1130
20007D, 1970
20008U, 1570
20008D, 2290
20009U, 1215
20009D, 1168
20010U, 1248
20010D, 2204
REFBAR00U, 0
REFBAR00D, 0
REFBAR01U, 0
REFBAR01D, 0
REFBAR02U, 0
REFBAR02D, 0
REFBAR03U, 0
REFBAR03D, 0
REFBAR04U, 0
REFBAR04D, 0
REFBAR05U, 0
REFBAR05D, 0
REFBAR06U, 0
REFBAR06D, 0
REFBAR07U, 0
REFBAR07D, 0
REFBAR08U, 0
REFBAR08D, 0
REFBAR09U, 0
REFBAR09D, 0
REFBAR10U, 0
REFBAR10D, 0
