Paddle ID,366,373,374,375,376
00000U,2311,2304,2204,2254,2354
00001U,1327,1340,1240,1290,1390
00002U,1418,1393,1293,1343,1443
00003U,1338,1317,1217,1267,1367
00004U,1152,1170,1070,1120,1220
00005U,1305,1298,1198,1248,1348
00006U,1419,1406,1306,1356,1456
00007U,1472,1467,1367,1417,1517
00008U,1227,1253,1153,1203,1303
00009U,1455,1439,1339,1389,1489
00010U,1535,1539,1439,1489,1589
00000D,1469,1437,1337,1387,1487
00001D,1350,1349,1249,1299,1399
00002D,1419,1418,1318,1368,1468
00003D,1429,1385,1285,1335,1435
00004D,1191,1214,1114,1164,1264
00005D,1317,1319,1219,1269,1369
00006D,1303,1306,1206,1256,1356
00007D,2299,2296,2196,2246,2346
00008D,1339,1344,1244,1294,1394
00009D,2014,2029,1929,1979,2079
00010D,1922,1932,1832,1882,1982
00100U,1549,1549,1449,1499,1599
00101U,1375,1342,1242,1292,1392
00102U,1383,1403,1303,1353,1453
00103U,1393,1366,1266,1316,1416
00104U,1431,1424,1324,1374,1474
00105U,1393,1421,1321,1371,1471
00106U,1316,1295,1195,1245,1345
00107U,1334,1332,1232,1282,1382
00108U,1463,1427,1327,1377,1477
00109U,1214,1226,1126,1176,1276
00110U,1328,1332,1232,1282,1382
00100D,1186,1198,1098,1148,1248
00101D,2027,1962,1862,1912,2012
00102D,1400,1249,1149,1199,1299
00103D,1076,1056,956,1006,1106
00104D,1363,1312,1212,1262,1362
00105D,1510,1493,1393,1443,1543
00106D,1888,1798,1698,1748,1848
00107D,1292,1272,1172,1222,1322
00108D,2128,2101,2001,2051,2151
00109D,1304,1275,1175,1225,1325
00110D,1420,1421,1321,1371,1471
10000U,1529,1536,1436,1486,1586
10001U,1240,1161,1061,1111,1211
10002U,1289,1263,1163,1213,1313
10003U,1654,1659,1559,1609,1709
10004U,1635,1567,1467,1517,1617
10005U,1257,1250,1150,1200,1300
10006U,1441,1446,1346,1396,1496
10007U,1325,1329,1229,1279,1379
10008U,1263,1267,1167,1217,1317
10009U,1491,1467,1367,1417,1517
10010U,1921,1903,1803,1853,1953
10000D,1348,1367,1267,1317,1417
10001D,1223,1239,1139,1189,1289
10002D,1238,1189,1089,1139,1239
10003D,1208,1202,1102,1152,1252
10004D,1385,1290,1190,1240,1340
10005D,1456,1431,1331,1381,1481
10006D,1106,1102,1002,1052,1152
10007D,1339,1303,1203,1253,1353
10008D,2264,2167,2067,2117,2217
10009D,1387,1357,1257,1307,1407
10010D,1432,1394,1294,1344,1444
10100U,1515,1414,1314,1364,1464
10101U,1725,1509,1409,1459,1559
10102U,1542,1527,1427,1477,1577
10103U,1357,1357,1257,1307,1407
10104U,1351,1364,1264,1314,1414
10105U,1742,1709,1609,1659,1759
10106U,1385,1375,1275,1325,1425
10107U,2336,2311,2211,2261,2361
10108U,1995,1998,1898,1948,2048
10109U,2136,2075,1975,2025,2125
10110U,1350,1356,1256,1306,1406
10100D,1354,1453,1353,1403,1503
10101D,1850,1820,1720,1770,1870
10102D,1536,1495,1395,1445,1545
10103D,1725,1713,1613,1663,1763
10104D,1160,1183,1083,1133,1233
10105D,1262,1236,1136,1186,1286
10106D,2138,2110,2010,2060,2160
10107D,2182,2146,2046,2096,2196
10108D,2208,2212,2112,2162,2262
10109D,1582,1640,1540,1590,1690
10110D,1391,1381,1281,1331,1431
20000U,1495,1477,1377,1427,1527
20001U,1421,1432,1332,1382,1482
20002U,1476,1465,1365,1415,1515
20003U,2113,2070,1970,2020,2120
20004U,1098,1094,994,1044,1144
20005U,1206,1211,1111,1161,1261
20006U,2024,1929,1829,1879,1979
20007U,1174,1167,1067,1117,1217
20008U,1651,1631,1531,1581,1681
20009U,1257,1245,1145,1195,1295
20010U,1266,1273,1173,1223,1323
20000D,1503,1503,1403,1453,1553
20001D,2269,2250,2150,2200,2300
20002D,2318,2313,2213,2263,2363
20003D,1345,1340,1240,1290,1390
20004D,1156,1160,1060,1110,1210
20005D,2369,2332,2232,2282,2382
20006D,1366,1271,1171,1221,1321
20007D,2031,2009,1909,1959,2059
20008D,2375,2292,2192,2242,2342
20009D,1251,1209,1109,1159,1259
20010D,2245,2242,2142,2192,2292
99900U,1500,1329,1229,1279,1379
99900D,1500,1234,1134,1184,1284
