Bar, Voltage
00000U, 2311
00000D, 1469
00001U, 1327
00001D, 1350
00002U, 1418
00002D, 1419
00003U, 1338
00003D, 1429
00004U, 1152
00004D, 1191
00005U, 1305
00005D, 1317
00006U, 1419
00006D, 1303
00007U, 1472
00007D, 2299
00008U, 1227
00008D, 1339
00009U, 1455
00009D, 2014
00010U, 1535
00010D, 1922
00100U, 1549
00100D, 1186
00101U, 1375
00101D, 2027
00102U, 1383
00102D, 3.33291e+07
00103U, 1393
00103D, 1076
00104U, 1431
00104D, 1363
00105U, 1393
00105D, 1510
00106U, 1316
00106D, 1888
00107U, 1334
00107D, 1292
00108U, 1463
00108D, 2128
00109U, 1214
00109D, 1304
00110U, 1328
00110D, 1420
10000U, 1529
10000D, 1348
10001U, 1240
10001D, 1223
10002U, 1289
10002D, 1238
10003U, 1654
10003D, 1208
10004U, 1635
10004D, 1385
10005U, 1257
10005D, 1456
10006U, 1441
10006D, 1106
10007U, 1325
10007D, 1339
10008U, 1263
10008D, 2264
10009U, 1491
10009D, 1387
10010U, 1921
10010D, 1432
10100U, 0
10100D, 0
10101U, 0
10101D, 0
10102U, 1542
10102D, 1536
10103U, 1357
10103D, 1725
10104U, 1351
10104D, 1160
10105U, 1742
10105D, 1262
10106U, 1385
10106D, 2138
10107U, 2336
10107D, 2182
10108U, 1995
10108D, 2208
10109U, 0
10109D, 0
10110U, 0
10110D, 0
20000U, 1495
20000D, 1503
20001U, 1421
20001D, 2269
20002U, 1476
20002D, 2318
20003U, 2113
20003D, 1345
20004U, 1098
20004D, 1156
20005U, 1206
20005D, 2369
20006U, 2024
20006D, 1366
20007U, 1174
20007D, 2031
20008U, 1651
20008D, 2375
20009U, 1257
20009D, 1251
20010U, 1266
20010D, 2245
