Bar, a, b
00000U, 0.00588822, 0.00735967
00000D, 0.00588822, 0.00735967
00001U, 0.00149274, 0.00885697
00001D, 0.00149274, 0.00885697
00002U, 0.00196484, 0.00823105
00002D, 0.00196484, 0.00823105
00003U, 0.0103817, 0.00722413
00003D, 0.0103817, 0.00722413
00004U, 0.00368127, 0.00909824
00004D, 0.00368127, 0.00909824
00005U, 0.00223419, 0.00875139
00005D, 0.00223419, 0.00875139
00006U, 0.00179365, 0.00900843
00006D, 0.00179365, 0.00900843
00007U, 0.0370369, 0.0038047
00007D, 0.0370369, 0.0038047
00008U, 0.00970602, 0.00749511
00008D, 0.00970602, 0.00749511
00009U, 0.0184157, 0.00464804
00009D, 0.0184157, 0.00464804
00010U, 0.0219275, 0.00479305
00010D, 0.0219275, 0.00479305
00100U, 0.00165412, 0.00988528
00100D, 0.00165412, 0.00988528
00101U, 0.0340583, 0.00449336
00101D, 0.0340583, 0.00449336
00102U, 0.00555018, 0.00851236
00102D, 0.00555018, 0.00851236
00103U, 0.00590779, 0.0100119
00103D, 0.00590779, 0.0100119
00104U, 0.0106804, 0.00760455
00104D, 0.0106804, 0.00760455
00105U, 0.00751226, 0.00691627
00105D, 0.00751226, 0.00691627
00106U, 0.0281789, 0.00501003
00106D, 0.0281789, 0.00501003
00107U, 0.0032603, 0.00877646
00107D, 0.0032603, 0.00877646
00108U, 0.00564214, 0.00505206
00108D, 0.00564214, 0.00505206
00109U, 0.0075059, 0.00810097
00109D, 0.0075059, 0.00810097
00110U, 0.00214222, 0.00815087
00110D, 0.00214222, 0.00815087
10000U, 0.00704525, 0.00760414
10000D, 0.00704525, 0.00760414
10001U, 0.00141532, 0.00968329
10001D, 0.00141532, 0.00968329
10002U, 0.00160271, 0.00998619
10002D, 0.00160271, 0.00998619
10003U, 0.00638247, 0.00872804
10003D, 0.00638247, 0.00872804
10004U, 0.00116745, 0.0094497
10004D, 0.00116745, 0.0094497
10005U, 0.00876011, 0.00711031
10005D, 0.00876011, 0.00711031
10006U, 0.00222042, 0.0104822
10006D, 0.00222042, 0.0104822
10007U, 0.0110581, 0.00763186
10007D, 0.0110581, 0.00763186
10008U, 0.0463515, 0.00392715
10008D, 0.0463515, 0.00392715
10009U, 0.00311359, 0.00825972
10009D, 0.00311359, 0.00825972
10010U, 0.0105462, 0.0071666
10010D, 0.0105462, 0.0071666
10100U, 0.00433367, 0.00748539
10100D, 0.00433367, 0.00748539
10101U, 0.0176157, 0.00453586
10101D, 0.0176157, 0.00453586
10102U, 0.0044033, 0.00726737
10102D, 0.0044033, 0.00726737
10103U, 0.0141394, 0.00566063
10103D, 0.0141394, 0.00566063
10104U, 0.00168112, 0.00999433
10104D, 0.00168112, 0.00999433
10105U, 0.00180229, 0.00950887
10105D, 0.00180229, 0.00950887
10106U, 0.0152233, 0.00456153
10106D, 0.0152233, 0.00456153
10107U, 0.0183385, 0.00439733
10107D, 0.0183385, 0.00439733
10108U, 0.00962004, 0.00455761
10108D, 0.00962004, 0.00455761
10109U, 0, 0
10109D, 0, 0
10110U, 0.00346491, 0.00804207
10110D, 0.00346491, 0.00804207
20000U, 0.0014084, 0.00798885
20000D, 0.0014084, 0.00798885
20001U, 0.0189282, 0.00418084
20001D, 0.0189282, 0.00418084
20002U, 0.029896, 0.0038679
20002D, 0.029896, 0.0038679
20003U, 0.00158592, 0.00886776
20003D, 0.00158592, 0.00886776
20004U, 0.000527989, 0.0111952
20004D, 0.000527989, 0.0111952
20005U, 0.0717818, 0.00346104
20005D, 0.0717818, 0.00346104
20006U, 0.00207637, 0.00913981
20006D, 0.00207637, 0.00913981
20007U, 0.00465206, 0.00538038
20007D, 0.00465206, 0.00538038
20008U, 0.00530907, 0.00465839
20008D, 0.00530907, 0.00465839
20009U, 0.00776786, 0.00851402
20009D, 0.00776786, 0.00851402
20010U, 0.0295277, 0.00399655
20010D, 0.0295277, 0.00399655
REFBAR00U, 0.0052346, 0.00866602
REFBAR00D, 0.0052346, 0.00866602
REFBAR01U, 0, 0
REFBAR01D, 0, 0
REFBAR02U, 0, 0
REFBAR02D, 0, 0
REFBAR03U, 0, 0
REFBAR03D, 0, 0
REFBAR04U, 0, 0
REFBAR04D, 0, 0
REFBAR05U, 0, 0
REFBAR05D, 0, 0
REFBAR06U, 0, 0
REFBAR06D, 0, 0
REFBAR07U, 0, 0
REFBAR07D, 0, 0
REFBAR08U, 0, 0
REFBAR08D, 0, 0
REFBAR09U, 0, 0
REFBAR09D, 0, 0
REFBAR10U, 0, 0
REFBAR10D, 0, 0
