Paddle ID,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364
00000U,2311,2011,1861,2161,2461,1951,1981,1921,1891,2041,2071,2101,2131,2191,2221,2251,2281,2341,2371,2401,2431,2431
00001U,1327,1027,877,1177,1477,967,997,937,907,1057,1087,1117,1147,1207,1237,1267,1297,1357,1387,1417,1447,1447
00002U,1418,1118,968,1268,1568,1058,1088,1028,998,1148,1178,1208,1238,1298,1328,1358,1388,1448,1478,1508,1538,1538
00003U,1338,1038,888,1188,1488,978,1008,948,918,1068,1098,1128,1158,1218,1248,1278,1308,1368,1398,1428,1458,1458
00004U,1152,852,702,1002,1302,792,822,762,732,882,912,942,972,1032,1062,1092,1122,1182,1212,1242,1272,1272
00005U,1305,1005,855,1155,1455,945,975,915,885,1035,1065,1095,1125,1185,1215,1245,1275,1335,1365,1395,1425,1425
00006U,1419,1119,969,1269,1569,1059,1089,1029,999,1149,1179,1209,1239,1299,1329,1359,1389,1449,1479,1509,1539,1539
00007U,1472,1172,1022,1322,1622,1112,1142,1082,1052,1202,1232,1262,1292,1352,1382,1412,1442,1502,1532,1562,1592,1592
00008U,1227,927,777,1077,1377,867,897,837,807,957,987,1017,1047,1107,1137,1167,1197,1257,1287,1317,1347,1347
00009U,1455,1155,1005,1305,1605,1095,1125,1065,1035,1185,1215,1245,1275,1335,1365,1395,1425,1485,1515,1545,1575,1575
00010U,1535,1235,1085,1385,1685,1175,1205,1145,1115,1265,1295,1325,1355,1415,1445,1475,1505,1565,1595,1625,1655,1655
00000D,1469,1169,1019,1319,1619,1109,1139,1079,1049,1199,1229,1259,1289,1349,1379,1409,1439,1499,1529,1559,1589,1589
00001D,1350,1050,900,1200,1500,990,1020,960,930,1080,1110,1140,1170,1230,1260,1290,1320,1380,1410,1440,1470,1470
00002D,1419,1119,969,1269,1569,1059,1089,1029,999,1149,1179,1209,1239,1299,1329,1359,1389,1449,1479,1509,1539,1539
00003D,1429,1129,979,1279,1579,1069,1099,1039,1009,1159,1189,1219,1249,1309,1339,1369,1399,1459,1489,1519,1549,1549
00004D,1191,891,741,1041,1341,831,861,801,771,921,951,981,1011,1071,1101,1131,1161,1221,1251,1281,1311,1311
00005D,1317,1017,867,1167,1467,957,987,927,897,1047,1077,1107,1137,1197,1227,1257,1287,1347,1377,1407,1437,1437
00006D,1303,1003,853,1153,1453,943,973,913,883,1033,1063,1093,1123,1183,1213,1243,1273,1333,1363,1393,1423,1423
00007D,2299,1999,1849,2149,2449,1939,1969,1909,1879,2029,2059,2089,2119,2179,2209,2239,2269,2329,2359,2389,2419,2419
00008D,1339,1039,889,1189,1489,979,1009,949,919,1069,1099,1129,1159,1219,1249,1279,1309,1369,1399,1429,1459,1459
00009D,2014,1714,1564,1864,2164,1654,1684,1624,1594,1744,1774,1804,1834,1894,1924,1954,1984,2044,2074,2104,2134,2134
00010D,1922,1622,1472,1772,2072,1562,1592,1532,1502,1652,1682,1712,1742,1802,1832,1862,1892,1952,1982,2012,2042,2042
00100U,1549,1249,1099,1399,1699,1189,1219,1159,1129,1279,1309,1339,1369,1429,1459,1489,1519,1579,1609,1639,1669,1669
00101U,1375,1075,925,1225,1525,1015,1045,985,955,1105,1135,1165,1195,1255,1285,1315,1345,1405,1435,1465,1495,1495
00102U,1383,1083,933,1233,1533,1023,1053,993,963,1113,1143,1173,1203,1263,1293,1323,1353,1413,1443,1473,1503,1503
00103U,1393,1093,943,1243,1543,1033,1063,1003,973,1123,1153,1183,1213,1273,1303,1333,1363,1423,1453,1483,1513,1513
00104U,1431,1131,981,1281,1581,1071,1101,1041,1011,1161,1191,1221,1251,1311,1341,1371,1401,1461,1491,1521,1551,1551
00105U,1393,1093,943,1243,1543,1033,1063,1003,973,1123,1153,1183,1213,1273,1303,1333,1363,1423,1453,1483,1513,1513
