Paddle ID,102,105,103,104,106,164,166,167
00000U,2300,2270,2330,2240,2210,2226,2266,2186
00001U,1350,1320,1380,1290,1260,1286,1326,1246
00002U,1400,1370,1430,1340,1310,1371,1411,1331
00003U,1325,1295,1355,1265,1235,1293,1333,1253
00004U,1250,1220,1280,1190,1160,1257,1297,1217
00005U,1350,1320,1380,1290,1260,1302,1342,1262
00006U,1450,1420,1480,1390,1360,1414,1454,1374
00007U,1550,1520,1580,1490,1460,1435,1475,1395
00008U,1350,1320,1380,1290,1260,1356,1396,1316
00009U,1475,1445,1505,1415,1385,1479,1519,1439
00010U,1550,1520,1580,1490,1460,1534,1574,1494
00000D,1500,1470,1530,1440,1410,1501,1541,1461
00001D,1400,1370,1430,1340,1310,1382,1422,1342
00002D,1450,1420,1480,1390,1360,1435,1475,1395
00003D,1400,1370,1430,1340,1310,1384,1424,1344
00004D,1200,1170,1230,1140,1110,1113,1153,1073
00005D,1350,1320,1380,1290,1260,1288,1328,1248
00006D,1350,1320,1380,1290,1260,1330,1370,1290
00007D,2350,2320,2380,2290,2260,2266,2306,2226
00008D,1350,1320,1380,1290,1260,1272,1312,1232
00009D,2000,1970,2030,1940,1910,1964,2004,1924
00010D,1950,1920,1980,1890,1860,1970,2010,1930
00100U,1550,1520,1580,1490,1460,1492,1532,1452
00101U,1350,1320,1380,1290,1260,1244,1284,1204
00102U,1450,1420,1480,1390,1360,1250,1290,1210
00103U,1400,1370,1430,1340,1310,1404,1444,1364
00104U,1525,1495,1555,1465,1435,1453,1493,1413
00105U,1475,1445,1505,1415,1385,1346,1386,1306
00106U,1350,1320,1380,1290,1260,1216,1256,1176
00107U,1450,1420,1480,1390,1360,1351,1391,1311
00108U,1425,1395,1455,1365,1335,1500,1540,1460
00109U,1300,1270,1330,1240,1210,1286,1326,1246
00110U,1400,1370,1430,1340,1310,1372,1412,1332
00100D,1250,1220,1280,1190,1160,1283,1323,1243
00101D,1950,1920,1980,1890,1860,1904,1944,1864
00102D,2350,2320,2380,2290,2260,2332,2372,2292
00103D,1000,970,1030,940,910,939,979,899
00104D,1350,1320,1380,1290,1260,1261,1301,1221
00105D,1600,1570,1630,1540,1510,1558,1598,1518
00106D,1850,1820,1880,1790,1760,1772,1812,1732
00107D,1350,1320,1380,1290,1260,1235,1275,1195
00108D,2000,1970,2030,1940,1910,1987,2027,1947
00109D,1300,1270,1330,1240,1210,1231,1271,1191
00110D,1450,1420,1480,1390,1360,1380,1420,1340
10000U,1600,1570,1630,1540,1510,1433,1473,1393
10001U,1250,1220,1280,1190,1160,1050,1090,1010
10002U,1325,1295,1355,1265,1235,1291,1331,1251
10003U,1750,1720,1780,1690,1660,1677,1717,1637
10004U,1575,1545,1605,1515,1485,1528,1568,1488
10005U,1275,1245,1305,1215,1185,1287,1327,1247
10006U,1600,1570,1630,1540,1510,1499,1539,1459
10007U,1375,1345,1405,1315,1285,1345,1385,1305
10008U,1300,1270,1330,1240,1210,1500,1540,1460
10009U,1475,1445,1505,1415,1385,1478,1518,1438
10010U,1900,1870,1930,1840,1810,1923,1963,1883
10000D,1600,1570,1630,1540,1510,1537,1577,1497
10001D,1500,1470,1530,1440,1410,1412,1452,1372
10002D,1225,1195,1255,1165,1135,1136,1176,1096
10003D,1250,1220,1280,1190,1160,1187,1227,1147
10004D,1300,1270,1330,1240,1210,1259,1299,1219
10005D,1425,1395,1455,1365,1335,1399,1439,1359
10006D,1200,1170,1230,1140,1110,1059,1099,1019
10007D,1325,1295,1355,1265,1235,1282,1322,1242
10008D,2000,1970,2030,1940,1910,1959,1999,1919
10009D,1350,1320,1380,1290,1260,1348,1388,1308
10010D,1350,1320,1380,1290,1260,1334,1374,1294
10100U,1600,1570,1630,1540,1510,1399,1439,1359
10101U,1600,1570,1630,1540,1510,1900,1940,1860
10102U,1550,1520,1580,1490,1460,1481,1521,1441
10103U,1400,1370,1430,1340,1310,1383,1423,1343
10104U,1475,1445,1505,1415,1385,1458,1498,1418
10105U,1700,1670,1730,1640,1610,1633,1673,1593
10106U,1400,1370,1430,1340,1310,1366,1406,1326
10107U,2275,2245,2305,2215,2185,2211,2251,2171
10108U,2125,2095,2155,2065,2035,2199,2239,2159
10109U,2025,1995,2055,1965,1935,1990,2030,1950
10110U,1400,1370,1430,1340,1310,1363,1403,1323
10100D,1500,1470,1530,1440,1410,1431,1471,1391
10101D,1650,1620,1680,1590,1560,1649,1689,1609
10102D,1500,1470,1530,1440,1410,1478,1518,1438
10103D,1700,1670,1730,1640,1610,1672,1712,1632
10104D,1200,1170,1230,1140,1110,1097,1137,1057
10105D,1300,1270,1330,1240,1210,1347,1387,1307
10106D,2150,2120,2180,2090,2060,2139,2179,2099
10107D,2175,2145,2205,2115,2085,2182,2222,2142
10108D,2200,2170,2230,2140,2110,2093,2133,2053
10109D,1600,1570,1630,1540,1510,1750,1790,1710
10110D,1425,1395,1455,1365,1335,1369,1409,1329
20000U,1500,1470,1530,1440,1410,1468,1508,1428
20001U,1425,1395,1455,1365,1335,1289,1329,1249
20002U,1525,1495,1555,1465,1435,1499,1539,1459
20003U,2100,2070,2130,2040,2010,2048,2088,2008
20004U,1200,1170,1230,1140,1110,1154,1194,1114
20005U,1250,1220,1280,1190,1160,1148,1188,1108
20006U,1950,1920,1980,1890,1860,1873,1913,1833
20007U,1225,1195,1255,1165,1135,1150,1190,1110
20008U,1675,1645,1705,1615,1585,1710,1750,1670
20009U,1275,1245,1305,1215,1185,1256,1296,1216
20010U,1325,1295,1355,1265,1235,1267,1307,1227
20000D,1550,1520,1580,1490,1460,1521,1561,1481
20001D,2350,2320,2380,2290,2260,2357,2397,2317
20002D,2325,2295,2355,2265,2235,2254,2294,2214
20003D,1375,1345,1405,1315,1285,1372,1412,1332
20004D,1200,1170,1230,1140,1110,1091,1131,1051
20005D,2400,2370,2430,2340,2310,2344,2384,2304
20006D,1325,1295,1355,1265,1235,1262,1302,1222
20007D,2075,2045,2105,2015,1985,2015,2055,1975
20008D,2300,2270,2330,2240,2210,2251,2291,2211
20009D,1200,1170,1230,1140,1110,1155,1195,1115
20010D,2275,2245,2305,2215,2185,2225,2265,2185
