Bar, Voltage
00000U, 2226.21
00000D, 1500.73
00001U, 1286.12
00001D, 1381.92
00002U, 1371.11
00002D, 1435.26
00003U, 1293.48
00003D, 1383.55
00004U, 1256.55
00004D, 1112.8
00005U, 1302.17
00005D, 1287.56
00006U, 1414.4
00006D, 1330.44
00007U, 1435.06
00007D, 2266.08
00008U, 1355.8
00008D, 1272.18
00009U, 1479
00009D, 1964.5
00010U, 1533.6
00010D, 1970.13
00100U, 1491.86
00100D, 1282.98
00101U, 1244.07
00101D, 1903.8
00102U, 592.728
00102D, 2331.59
00103U, 1403.5
00103D, 938.627
00104U, 1452.64
00104D, 1260.78
00105U, 1345.69
00105D, 1557.98
00106U, 1215.71
00106D, 1772.37
00107U, 1350.87
00107D, 1235.41
00108U, 1655.83
00108D, 1987.08
00109U, 1286.42
00109D, 1231.18
00110U, 1372.06
00110D, 1380.29
10000U, 1433.16
10000D, 1537.37
10001U, 1021.6
10001D, 1412.35
10002U, 1291.42
10002D, 1136.21
10003U, 1677.26
10003D, 1187.03
10004U, 1528.38
10004D, 1259.4
10005U, 1287.46
10005D, 1398.55
10006U, 1499.43
10006D, 1059.41
10007U, 1344.76
10007D, 1281.57
10008U, 1597.48
10008D, 1959.07
10009U, 1478.44
10009D, 1347.62
10010U, 1923.36
10010D, 1334.2
10100U, 1398.82
10100D, 1431.31
10101U, 2716.82
10101D, 1648.73
10102U, 1481.49
10102D, 1478.47
10103U, 1383.4
10103D, 1672.24
10104U, 1457.83
10104D, 1096.51
10105U, 1632.58
10105D, 1346.55
10106U, 1366.21
10106D, 2139.16
10107U, 2211.23
10107D, 2181.86
10108U, 2198.53
10108D, 2093.44
10109U, 1989.99
10109D, 1787.35
10110U, 1363.09
10110D, 1368.9
20000U, 1468.44
20000D, 1520.97
20001U, 1289.25
20001D, 2356.96
20002U, 1498.63
20002D, 2253.8
20003U, 2047.98
20003D, 1372.13
20004U, 1153.62
20004D, 1091.29
20005U, 1148.15
20005D, 2343.99
20006U, 1872.85
20006D, 1262.38
20007U, 1150.42
20007D, 2015.29
20008U, 1710.42
20008D, 2250.97
20009U, 1255.86
20009D, 1155.06
20010U, 1266.61
20010D, 2224.55
